family,genus,species,a0,a1,a2
Fagaceae,Quercus,kelloggii,3.3625,2.0303,-0.0073307
Fagaceae,Chrysolepis,chrysophylla,2.9794,1.5512,-0.014161
Pinaceae,Pseudotsuga,menziesii,4.6366,1.6078,-0.009625
Cupressaceae,Calocedrus,decurrens,3.2837,1.2031,-0.0071858
Pinaceae,Pinus,jeffreyi,5.303,0.9293,0
Ericaceae,Arbutus,menziesii,3.4299,1.3532,0
Pinaceae,Abies,procera,3.6883,0.8627,0
Fagaceae,Quercus,garryana,3.0786,1.9242,0
Pinaceae,Pinus,ponderosa,3.4835,1.343,-0.0082544
Pinaceae,Abies,magnifica,3.0884,0.7871,0
Pinaceae,Pinus,lambertiana,4.6601,1.0702,0
Fagaceae,Notholithocarpus,densiflorus,4.4443,1.704,0
Pinaceae,Tsuga,heterophylla,4.5652,1.4147,0
Pinaceae,Pinus,monticola,3.2095,1.2633,-0.0082873
Pinaceae,Abies,concolor,6.188,1.0069,0
Pinaceae,Abies,grandis,6.188,1.0069,0
