family,genus,species,pred_fn,A,c,k
Fabaceae,Amburana,cearensis,H,26.11,344.74,2.32
Aponyaceae,Aspidosperma,pyricollum,W,53.88,0.7192,0.0348
Anacardiaceae,Astronium,concinnum,K,23.66,0.8775,3.99
Anacardiaceae,Astronium,graveolens,G,39.24,1.81,0.03925
Fabaceae,Barnebydendron,riedelii,K,47.11,0.5434,4.2
Fabaceae,Bowdichia,virgilioides,H,83.54,42.02,0.8551
Lecythidaceae,Cariniana,legalis,K,46.4,0.9855,11.38
Fabaceae,Centrolobium,tomentosum,K,46.43,0.7437,8.3
Moraceae,Clarisia,racemosa,G,36.23,4.92,0.1038
Fabaceae,Copaifera,langsdorffii,H,76.46,190.22,1.2478
Boraginaceae,Cordia,trichotoma,G,41.27,2.15,0.048
Fabaceae,Dalbergia,nigra,K,61.47,0.4838,3.91
Fabaceae,Goniorrhachis,marginata,K,49.36,0.5634,5.15
Bignoniaceae,Handroanthus,serratifolius,K,49.86,0.5405,4.66
Fabaceae,Hymenaea,courbaril,K,47.67,0.5847,4.08
Euphorbiaceae,Joannesia,princeps,K,44.59,0.3574,2.32
Lecythidaceae,Lecythis,pisonis,K,60.82,0.4848,4.774
Fabaceae,Libidibia,ferrea,K,30.9,0.7867,4.97
Sapotaceae,Manilkara,longifolia,K,25.25,1.0455,9.59
Fabaceae,Moldenhawera,papillanthera,H,73.09,104.6,1.059
Anacardiaceae,Myracrodruon,urundeuva,H,60.42,20.075,0.9038
Malvaceae,Pachira,endecaphylla,W,29.124,1.3736,0.0413
Bignoniaceae,Paratecoma,peroba,K,71.15,0.3558,3.8343
Fabaceae,Parkia,pendula,K,70.98,0.5052,4.61
Fabaceae,Paubrasilia,echinata,K,40.69,0.6845,6.03
Fabaceae,Pterocarpus,rohrii,K,81.48,0.4487,4.48
Malvaceae,Pterygota,brasiliensis,H,89.77,44.28,0.9057
Fabaceae,Senegalia,polyphylla,K,77.54,0.344,3.935
Simaroubaceae,Simarouba,amara,G,43.98,2.34,0.0587
Anacardiaceae,Spondias,venulosa,K,82.59,0.4292,2.97
Fabaceae,Tachigali,vulgaris,K,90.41,0.5003,5.12
Combretaceae,Terminalia,mameluco,H,31.74,168.87,1.617
Fabaceae,Vatairea,heteroptera,K,29.25,0.8561,5.62
Fabaceae,Vataireopsis,araroba,K,48.59,0.4858,3.54
Bignoniaceae,Zeyheria,tuberculosa,H,37.62,19.9,1.13823
